"AnnoMese";"Postazione";"Giorno";"N Giorno Settimana";"Strada";"Transiti - Totale";"Transiti - Non Classificato";"Transiti - Leggeri";"Transiti - Pesanti";"Transiti - Diurno";"Transiti - Notturno";"Transiti - Feriali";"Transiti - Festivi"
"2025/02";"6";"12/02/2025";"3";"SS 12 tra Fiumalbo e confine regionale Toscana";"1.302";"0";"1.248";"54";"1.143";"159";"1.302";"0"
"2025/02";"6";"13/02/2025";"4";"SS 12 tra Fiumalbo e confine regionale Toscana";"1.469";"0";"1.426";"43";"1.226";"243";"1.469";"0"
"2025/02";"6";"14/02/2025";"5";"SS 12 tra Fiumalbo e confine regionale Toscana";"1.904";"0";"1.843";"61";"1.469";"435";"1.904";"0"
"2025/02";"6";"16/02/2025";"7";"SS 12 tra Fiumalbo e confine regionale Toscana";"3.175";"0";"3.168";"7";"2.750";"425";"0";"3.175"
"2025/02";"6";"17/02/2025";"1";"SS 12 tra Fiumalbo e confine regionale Toscana";"1.797";"0";"1.731";"66";"1.570";"227";"1.797";"0"
"2025/02";"6";"18/02/2025";"2";"SS 12 tra Fiumalbo e confine regionale Toscana";"1.723";"0";"1.675";"48";"1.513";"210";"1.723";"0"
"2025/02";"6";"19/02/2025";"3";"SS 12 tra Fiumalbo e confine regionale Toscana";"1.584";"0";"1.530";"54";"1.376";"208";"1.584";"0"
"2025/02";"6";"20/02/2025";"4";"SS 12 tra Fiumalbo e confine regionale Toscana";"1.714";"0";"1.672";"42";"1.442";"272";"1.714";"0"
"2025/02";"6";"21/02/2025";"5";"SS 12 tra Fiumalbo e confine regionale Toscana";"2.483";"0";"2.421";"62";"1.996";"487";"2.483";"0"
"2025/02";"6";"22/02/2025";"6";"SS 12 tra Fiumalbo e confine regionale Toscana";"2.639";"0";"2.619";"20";"2.121";"518";"0";"2.639"
"2025/02";"6";"23/02/2025";"7";"SS 12 tra Fiumalbo e confine regionale Toscana";"2.482";"0";"2.473";"9";"2.155";"327";"0";"2.482"
"2025/02";"6";"24/02/2025";"1";"SS 12 tra Fiumalbo e confine regionale Toscana";"1.479";"0";"1.444";"35";"1.277";"202";"1.479";"0"
"2025/02";"6";"25/02/2025";"2";"SS 12 tra Fiumalbo e confine regionale Toscana";"1.430";"1";"1.383";"46";"1.247";"183";"1.430";"0"
"2025/02";"7";"12/02/2025";"3";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2025/02";"7";"13/02/2025";"4";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2025/02";"7";"14/02/2025";"5";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2025/02";"7";"15/02/2025";"6";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2025/02";"7";"16/02/2025";"7";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2025/02";"7";"17/02/2025";"1";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2025/02";"7";"18/02/2025";"2";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2025/02";"7";"19/02/2025";"3";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2025/02";"7";"20/02/2025";"4";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2025/02";"7";"21/02/2025";"5";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2025/02";"7";"22/02/2025";"6";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2025/02";"7";"23/02/2025";"7";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2025/02";"7";"24/02/2025";"1";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2025/02";"7";"25/02/2025";"2";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2025/02";"9";"12/02/2025";"3";"SS 67 a Portico di Romagna tra Rocca San Casciano e San Benedetto in Alpe";"1.085";"0";"1.044";"41";"895";"190";"1.085";"0"
"2025/02";"9";"13/02/2025";"4";"SS 67 a Portico di Romagna tra Rocca San Casciano e San Benedetto in Alpe";"1.040";"0";"1.006";"34";"846";"194";"1.040";"0"
"2025/02";"9";"14/02/2025";"5";"SS 67 a Portico di Romagna tra Rocca San Casciano e San Benedetto in Alpe";"1.165";"0";"1.124";"41";"890";"275";"1.165";"0"
"2025/02";"9";"15/02/2025";"6";"SS 67 a Portico di Romagna tra Rocca San Casciano e San Benedetto in Alpe";"1.046";"0";"1.025";"21";"837";"209";"0";"1.046"
"2025/02";"9";"16/02/2025";"7";"SS 67 a Portico di Romagna tra Rocca San Casciano e San Benedetto in Alpe";"1.174";"0";"1.170";"4";"1.033";"141";"0";"1.174"
