Giorno,Postazione,Strada,Transiti - Totale
01/01/2025,12,SS 16 tra A 14 (casello Cattolica) e confine regionale Marche,10584
01/01/2025,16,SP 69 (ex SS 496) tra Bondeno e Pilastri (confine regionale Lombardia),8850
01/01/2025,17,SS 12 tra Mirandola e confine regionale Lombardia,375
01/01/2025,19,SS 343 tra Colorno e ponte fiume Po (confine regionale Lombardia),5667
01/01/2025,25,SS 9 a San Prospero Parmense tra Parma e confine provinciale Parma/Reggio Emilia,14129
01/01/2025,29,SS 9 tra Modena e Rubiera (confine provinciale Modena/Reggio Emilia),10314
01/01/2025,53,SS 309 a San Giuseppe di Comacchio,5093
01/01/2025,95,SS 10 tra Castel San Giovanni e Sarmato,5121
01/01/2025,98,SP 302R tra Brisighella e San Martino in Gattara (confine regionale Toscana),202
01/01/2025,107,SP 85 tra Rubiera e Fontana (viadotto A 1),4246
01/01/2025,115,SP 68 (ex SS 495) ad Ariano Polesine (confine regionale Veneto),1274
01/01/2025,116,SP 138 tra San Piero in Bagno (svincolo E 45) e Bagno di Romagna,4899
01/01/2025,117,SS 63 tra Collagna (Cerreto Alpi) e confine regionale Toscana,1448
01/01/2025,118,SS 45 tra Ottone e Gorreto (confine regionale Liguria),4070
01/01/2025,122,SS 10 tra Piacenza (ponte fiume Trebbia) e San Nicolo' a Trebbia,12205
01/01/2025,123,SP 28 presso tangenziale sud di Piacenza tra Piacenza e Gossolengo,7382
01/01/2025,124,SS 45 a Quarto tra Piacenza e Settima/Niviano,88
01/01/2025,126,SP 6 presso tangenziale sud di Piacenza (Mucinasso) tra Piacenza e San Giorgio Piacentino,7107
01/01/2025,127,SS 9 tra Piacenza e Pontenure,8711
01/01/2025,128,SS 10 tra A 1/A 21 (casello Piacenza sud) e il bivio SP 587R,6007
01/01/2025,130,SS 62 tra Parma e Collecchio,8918
01/01/2025,132,SP 513R tra Parma e bivio Pilastrello/Monticelli Terme,9416
01/01/2025,133,SP 62R tra Parma (viadotto A 1) e Sorbolo,7701
01/01/2025,135,SP 10 tra Parma (viadotto A 1) e Viarolo,4936
01/01/2025,137,SP 28 tra Reggio Emilia e Cavriago,7919
01/01/2025,140,SS 9 tra Reggio Emilia e Rubiera,11047
01/01/2025,150,SS 12 tra Modena e Bastiglia,9647
01/01/2025,153,Via Porrettana (ex SS 64) tra Bologna e Sasso Marconi,6644
01/01/2025,155,Via Emilia (ex SS 9) tra San Lazzaro e Idice (ponte torrente Idice),6612
01/01/2025,162,SS 9 al confine provinciale Modena/Bologna tra Cavazzona e Ponte Samoggia,7514
01/01/2025,170,SS 67 tra Castrocaro Terme (Rovere) e Forli',5692
01/01/2025,171,SP 56 tra Forli' e SS 67 (Castrocaro Terme),5056
01/01/2025,173,SP 4 (ex SS 310) tra Magliano/Carpena (Forli') e bivo Para/Meldola,3739
01/01/2025,174,SS 9 tra Ronco e Forlimpopoli ,1344
01/01/2025,177,NSA 313 complanare sud alla A 14 nel tratto tra San Lazzaro e Idice,7147
01/01/2025,184,SS 16 a Rimini Miramare presso aeroporto Federico Fellini,17053
01/01/2025,186,SS 16 tra Rimini e Bellaria-Igea Marina,17901
01/01/2025,218,SP 10 tra Polesine Parmense e Ragazzola (ponte fiume Po),1044
01/01/2025,219,SS 9 tra Fiorenzuola d'Arda e Pontenure,6124
01/01/2025,221,SS 9 tra Fidenza e A 15 (casello Parma ovest),8682
01/01/2025,222,SP 359R tra Fidenza e Salsomaggiore Terme,7465
01/01/2025,223,SS 357 tra Castelguelfo (SS 9) e Noceto,3632
01/01/2025,226,SP 32 al ponte sul torrente Parma  tra SP 16 (Mamiano/Santa Mari del Piano) e Pilastro/Pannocchia ,5322
01/01/2025,227,SP 34 tra Casale/Mezzani e Coenzo (confine provinciale Parma/Reggio Emilia),1752
