Giorno,Postazione,Strada,Transiti - Totale
14/01/2025,9,SS 67 a Portico di Romagna tra Rocca San Casciano e San Benedetto in Alpe,9900
01/01/2025,12,SS 16 tra A 14 (casello Cattolica) e confine regionale Marche,10584
02/01/2025,12,SS 16 tra A 14 (casello Cattolica) e confine regionale Marche,13059
03/01/2025,12,SS 16 tra A 14 (casello Cattolica) e confine regionale Marche,12251
04/01/2025,12,SS 16 tra A 14 (casello Cattolica) e confine regionale Marche,12824
05/01/2025,12,SS 16 tra A 14 (casello Cattolica) e confine regionale Marche,11258
06/01/2025,12,SS 16 tra A 14 (casello Cattolica) e confine regionale Marche,10142
07/01/2025,12,SS 16 tra A 14 (casello Cattolica) e confine regionale Marche,13878
08/01/2025,12,SS 16 tra A 14 (casello Cattolica) e confine regionale Marche,14019
09/01/2025,12,SS 16 tra A 14 (casello Cattolica) e confine regionale Marche,14199
10/01/2025,12,SS 16 tra A 14 (casello Cattolica) e confine regionale Marche,14695
11/01/2025,12,SS 16 tra A 14 (casello Cattolica) e confine regionale Marche,12935
12/01/2025,12,SS 16 tra A 14 (casello Cattolica) e confine regionale Marche,11105
13/01/2025,12,SS 16 tra A 14 (casello Cattolica) e confine regionale Marche,13869
14/01/2025,12,SS 16 tra A 14 (casello Cattolica) e confine regionale Marche,14066
01/01/2025,16,SP 69 (ex SS 496) tra Bondeno e Pilastri (confine regionale Lombardia),8850
02/01/2025,16,SP 69 (ex SS 496) tra Bondeno e Pilastri (confine regionale Lombardia),117
03/01/2025,16,SP 69 (ex SS 496) tra Bondeno e Pilastri (confine regionale Lombardia),1229
04/01/2025,16,SP 69 (ex SS 496) tra Bondeno e Pilastri (confine regionale Lombardia),1203
05/01/2025,16,SP 69 (ex SS 496) tra Bondeno e Pilastri (confine regionale Lombardia),1194
06/01/2025,16,SP 69 (ex SS 496) tra Bondeno e Pilastri (confine regionale Lombardia),12
07/01/2025,16,SP 69 (ex SS 496) tra Bondeno e Pilastri (confine regionale Lombardia),1442
08/01/2025,16,SP 69 (ex SS 496) tra Bondeno e Pilastri (confine regionale Lombardia),1542
09/01/2025,16,SP 69 (ex SS 496) tra Bondeno e Pilastri (confine regionale Lombardia),1532
10/01/2025,16,SP 69 (ex SS 496) tra Bondeno e Pilastri (confine regionale Lombardia),1528
11/01/2025,16,SP 69 (ex SS 496) tra Bondeno e Pilastri (confine regionale Lombardia),1311
12/01/2025,16,SP 69 (ex SS 496) tra Bondeno e Pilastri (confine regionale Lombardia),1162
13/01/2025,16,SP 69 (ex SS 496) tra Bondeno e Pilastri (confine regionale Lombardia),1529
14/01/2025,16,SP 69 (ex SS 496) tra Bondeno e Pilastri (confine regionale Lombardia),1558
01/01/2025,17,SS 12 tra Mirandola e confine regionale Lombardia,375
02/01/2025,17,SS 12 tra Mirandola e confine regionale Lombardia,6946
03/01/2025,17,SS 12 tra Mirandola e confine regionale Lombardia,7496
04/01/2025,17,SS 12 tra Mirandola e confine regionale Lombardia,6965
05/01/2025,17,SS 12 tra Mirandola e confine regionale Lombardia,6034
06/01/2025,17,SS 12 tra Mirandola e confine regionale Lombardia,5291
07/01/2025,17,SS 12 tra Mirandola e confine regionale Lombardia,10082
08/01/2025,17,SS 12 tra Mirandola e confine regionale Lombardia,10095
09/01/2025,17,SS 12 tra Mirandola e confine regionale Lombardia,10315
10/01/2025,17,SS 12 tra Mirandola e confine regionale Lombardia,11156
11/01/2025,17,SS 12 tra Mirandola e confine regionale Lombardia,8601
12/01/2025,17,SS 12 tra Mirandola e confine regionale Lombardia,7125
13/01/2025,17,SS 12 tra Mirandola e confine regionale Lombardia,10395
14/01/2025,17,SS 12 tra Mirandola e confine regionale Lombardia,10706
01/01/2025,19,SS 343 tra Colorno e ponte fiume Po (confine regionale Lombardia),5667
02/01/2025,19,SS 343 tra Colorno e ponte fiume Po (confine regionale Lombardia),9149
03/01/2025,19,SS 343 tra Colorno e ponte fiume Po (confine regionale Lombardia),9872
04/01/2025,19,SS 343 tra Colorno e ponte fiume Po (confine regionale Lombardia),9187
05/01/2025,19,SS 343 tra Colorno e ponte fiume Po (confine regionale Lombardia),8329
06/01/2025,19,SS 343 tra Colorno e ponte fiume Po (confine regionale Lombardia),7023
07/01/2025,19,SS 343 tra Colorno e ponte fiume Po (confine regionale Lombardia),11277
08/01/2025,19,SS 343 tra Colorno e ponte fiume Po (confine regionale Lombardia),11393
09/01/2025,19,SS 343 tra Colorno e ponte fiume Po (confine regionale Lombardia),11637
